Movies,,,,,,
Title,Genre,Rating,Year,Directors,Actors,Summary
Star Wars: Episode IV - A New Hope,SciFi,PG,1977,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station while also attempting to rescue Princess Leia from the evil Darth Vader."
Forest Gump,Drama,PG-13,1994,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
Good Will Hunting,Drama,R,1997,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Patch Adams,Comedy,PG-13,1998,Tom Shadyac,"Robin Williams, Daniel London, Monica Potter","The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."
Scarface,Action,R,1983,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer","In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Lord of the Rings: The Fellowship of the ring,Drama,PG-13,2001,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
The Hobbit: An Unexpected Journey,Drama,PG-13,2012,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Annihilation,SciFi,R,2018,Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
Rudy,Drama,PG ,1993,David Anspaugh,"Sean Astin, Jon Favreau, Ned Beatty",Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.
Interstellar ,SciFi,PG-13,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Talladega Nights: The Ballad of Ricky Bobby,Comedy,PG-13,2006,Adam Mckay,"Will Ferrel, John C. Reilly, Sacha Baron Cohen","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
Dr. No,Action,PG,1962,Terence Young,"Sean Connery, Ursula Andress, Bernard Lee",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.
The Princess Bride,Comedy,PG,1987,Rob Reiner,"Cary Elwes, Mandy Patinkin, Robin Wright","While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride."
Die Hard,Action,R,1988,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles."
Pulp Fiction,Drama,R,1994,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Outlaw Josey Wales,Western,PG,1976,Clint Eastwood,"Clint Eastwood, Chief Dan George, Sondra Locke",A Missouri farmer joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
For A Few Dollars More,Western,R,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volonte, ",Two bounty hunters with the same intentions team up to track down a Western outlaw
Gran Torino,Drama,R,2008,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley",Two bounty hunters with the same intentions team up to track down a Western outlaw
Bram Stoker's Dracula,Horror,R,1992,Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins",The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
Apocalypse Now,Drama,R,1979,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe."
American Graffiti,Comedy,PG,1973,George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.
Rocky,Drama,PG,1976,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young","Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect."
Judge Dredd,Action,R,1995,Danny Cannon,"Sylvester Stallone, Armand Assante, Diana Lane","In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart."
Dredd,Action,R,2012,Pete Travis,"Karl Urban, Olivia Thirlby, Wood Harris","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
